                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 2.1932,                 5.0317,                 2.3018,                 1.9316,                 6.1057,                 1.9943,                      0,                      0,                      0,                      0,                 2.8953,                 6.0483,                 3.2387,                 2.2987,                 8.8022,                 2.7963,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 2.0172,                 4.9893,                 2.4006,                 1.8767,                 6.5796,                 2.0496,                      0,                      0,                      0,                      0,                  2.935,                 6.0962,                 3.2891,                 2.3119,                 8.8022,                 2.7509,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                  2.451,                 5.3042,                 2.7802,                 2.1255,                 6.8458,                 2.3407,                      0,                      0,                      0,                      0,                  2.935,                 6.0962,                 3.2891,                 2.3119,                 8.8022,                 2.7509,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 2.1432,                 4.9476,                 2.3877,                 1.6623,                 5.7998,                 2.0339,                      0,                      0,                      0,                      0,                  2.851,                 6.0587,                 3.2537,                 2.4271,                 8.8079,                 2.6697,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 2.5327,                 5.3163,                 2.9328,                 2.0025,                 6.8308,                 2.5797,                      0,                      0,                      0,                      0,                  2.851,                 6.0587,                 3.2537,                 2.4271,                 8.8079,                 2.6697,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 2.1222,                 5.2336,                 2.5644,                 1.6907,                 7.4969,                 2.0889,                      0,                      0,                      0,                      0,                 2.9073,                 6.0658,                   3.31,                 2.3855,                 8.7731,                 2.6178,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 1.9608,                 5.0287,                  2.221,                 1.7817,                 6.0614,                 1.9869,                      0,                      0,                      0,                      0,                 2.9073,                 6.0658,                   3.31,                 2.3855,                 8.7731,                 2.6178,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 2.2993,                  5.198,                 2.7409,                 2.0801,                 7.2911,                 2.5107,                      0,                      0,                      0,                      0,                 2.8876,                 6.0955,                 3.3295,                 2.4024,                 8.7719,                 2.6562,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 2.2561,                 5.0628,                 2.6142,                 1.8792,                  6.172,                 2.1095,                      0,                      0,                      0,                      0,                 2.8876,                 6.0955,                 3.3295,                 2.4024,                 8.7719,                 2.6562,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                  1.849,                 4.8886,                  2.033,                 1.7599,                  5.912,                 1.8832,                      0,                      0,                      0,                      0,                 2.8611,                 6.0744,                 3.3766,                 2.3845,                 8.7644,                 2.6729,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 1.8971,                 4.9977,                 2.1772,                 1.7767,                 5.5677,                 1.8846,                      0,                      0,                      0,                      0,                 2.8611,                 6.0744,                 3.3766,                 2.3845,                 8.7644,                 2.6729,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.8148,                 5.2445,                 2.0755,                 1.5407,                 7.2723,                 1.9129,                      0,                      0,                      0,                      0,                 2.8611,                 6.0744,                 3.3766,                 2.3845,                 8.7644,                 2.6729,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 1.9818,                 4.9866,                 2.0779,                 1.8317,                 5.7426,                 1.8133,                      0,                      0,                      0,                      0,                 2.8569,                 6.0876,                 3.3647,                 2.5433,                 8.8428,                 2.8254,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 2.1692,                 4.9877,                 2.5183,                 1.8252,                 6.1117,                 2.0828,                      0,                      0,                      0,                      0,                 2.8569,                 6.0876,                 3.3647,                 2.5433,                 8.8428,                 2.8254,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.7271,                  4.841,                  2.077,                 1.4488,                 6.2583,                 1.8835,                      0,                      0,                      0,                      0,                 2.8569,                 6.0876,                 3.3647,                 2.5433,                 8.8428,                 2.8254,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                  1.676,                 4.9056,                 1.9442,                 1.4621,                  5.989,                 1.7838,                      0,                      0,                      0,                      0,                 2.8447,                 6.0395,                 3.2625,                 2.6235,                    8.9,                 2.8387,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 2.2557,                 5.5231,                 2.7837,                 2.4949,                 9.0642,                 2.5214,                      0,                      0,                      0,                      0,                 2.8447,                 6.0395,                 3.2625,                 2.6235,                    8.9,                 2.8387,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 2.0942,                 5.2268,                 2.3609,                 1.7906,                  7.196,                  2.107,                      0,                      0,                      0,                      0,                 2.8447,                 6.0395,                 3.2625,                 2.6235,                    8.9,                 2.8387,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                  2.256,                 4.9779,                 2.7311,                 1.9852,                 6.1163,                 2.1841,                      0,                      0,                      0,                      0,                  2.922,                 6.0962,                 3.2986,                 2.5424,                 8.8429,                 2.8685,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 2.1111,                 5.0706,                 2.3713,                 1.8617,                 6.2758,                 2.0143,                      0,                      0,                      0,                      0,                  2.922,                 6.0962,                 3.2986,                 2.5424,                 8.8429,                 2.8685,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 1.6867,                 4.9574,                 2.2373,                 1.6976,                 6.6061,                 2.0839,                      0,                      0,                      0,                      0,                  2.922,                 6.0962,                 3.2986,                 2.5424,                 8.8429,                 2.8685,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 2.1163,                 5.0382,                 2.3642,                 1.7078,                 6.9747,                 1.9647,                      0,                      0,                      0,                      0,                 2.9023,                 6.0708,                  3.298,                  2.628,                 8.9135,                 2.9404,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 1.8669,                 4.9935,                 2.0352,                 1.7667,                 6.2567,                 1.8782,                      0,                      0,                      0,                      0,                 2.9023,                 6.0708,                  3.298,                  2.628,                 8.9135,                 2.9404,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 2.0271,                 5.0434,                 2.2903,                 1.9578,                 5.9781,                 2.0631,                      0,                      0,                      0,                      0,                 2.9023,                 6.0708,                  3.298,                  2.628,                 8.9135,                 2.9404,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 2.0434,                 4.9882,                 2.3404,                 1.8355,                 5.6654,                  2.174,                      0,                      0,                      0,                      0,                 2.8637,                 6.1859,                 3.1865,                 2.5853,                  8.885,                 2.8331,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 2.1131,                 4.9066,                 2.2728,                 1.9124,                 5.9427,                 2.0751,                      0,                      0,                      0,                      0,                 2.8637,                 6.1859,                 3.1865,                 2.5853,                  8.885,                 2.8331,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 2.1786,                    5.3,                 2.3391,                 1.8944,                 6.2604,                 1.9953,                      0,                      0,                      0,                      0,                 2.8637,                 6.1859,                 3.1865,                 2.5853,                  8.885,                 2.8331,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 2.0991,                 5.2493,                 2.7566,                 1.8381,                 8.1029,                 2.3097,                      0,                      0,                      0,                      0,                 2.9288,                 6.1498,                 3.2516,                 2.5707,                 8.8815,                 2.8045,             2.6445e-05,             2.6445e-05,             2.6445e-05
