                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.005,                0.84367,                 1.0923,                 1.1127,                 1.0145,                 1.1035,                0.55954,                 0.6331,                0.57529,                0.34746,                 1.1206,                 1.2008,                 1.2069,                 1.1614,                 1.3404,                 1.1823,             0.00092402,             0.00092402,             0.00092402
                     37,                 1.0092,                0.84019,                 1.0934,                  1.117,                 1.0067,                 1.1021,                0.56159,                0.61931,                0.58767,                0.35827,                 1.1108,                 1.2152,                 1.1844,                 1.1601,                  1.349,                 1.1715,             0.00091852,             0.00091852,             0.00091852
                     38,                 1.0027,                0.82849,                 1.0932,                 1.1084,                0.98149,                 1.1035,                 0.5487,                0.62341,                 0.5856,                0.35452,                 1.1421,                 1.2592,                 1.2342,                 1.1842,                 1.4221,                 1.2173,             0.00091302,             0.00091302,             0.00091302
                     39,                 1.0115,                0.84137,                 1.0972,                 1.1157,                 1.0067,                  1.105,                0.56651,                0.62247,                0.57306,                0.34246,                 1.1121,                 1.2599,                 1.2143,                 1.1653,                 1.3984,                 1.2002,             0.00090752,             0.00090752,             0.00090752
                     40,                0.99851,                0.82354,                 1.0868,                 1.1058,                0.98212,                  1.098,                0.60273,                 0.6174,                0.60075,                0.36168,                 1.1078,                 1.2589,                 1.1842,                  1.138,                 1.4081,                 1.1664,             0.00090202,             0.00090202,             0.00090202
                     41,                 1.0057,                 0.8172,                 1.0878,                 1.1133,                0.97608,                 1.1021,                0.57223,                0.62766,                0.58106,                0.35993,                 1.0929,                 1.2336,                 1.1886,                 1.1282,                 1.3961,                 1.1714,             0.00089652,             0.00089652,             0.00089652
                     42,                0.99683,                0.81993,                 1.0847,                 1.1021,                0.97206,                  1.096,                0.58607,                0.61428,                  0.597,                0.35643,                 1.1206,                 1.2118,                 1.1909,                  1.154,                 1.3504,                 1.1773,             0.00089102,             0.00089102,             0.00089102
                     43,                0.98594,                0.80262,                 1.0779,                 1.0904,                 0.9502,                 1.0904,                0.57365,                0.59117,                0.56336,                0.35034,                 1.1277,                 1.2609,                 1.2122,                 1.1623,                 1.4253,                 1.1933,             0.00088552,             0.00088552,             0.00088552
                     44,                0.99291,                0.79758,                 1.0834,                 1.1034,                  0.944,                 1.0973,                0.58694,                0.62753,                  0.597,                0.36076,                 1.1163,                 1.2486,                  1.202,                 1.1574,                  1.413,                 1.1839,             0.00088002,             0.00088002,             0.00088002
                     45,                0.99152,                0.80421,                 1.0807,                 1.1004,                0.95327,                 1.0939,                0.58862,                 0.5899,                0.57306,                0.35018,                  1.114,                 1.2655,                 1.2088,                 1.1585,                 1.4194,                 1.1976,             0.00087452,             0.00087452,             0.00087452
                     46,                0.98576,                0.79743,                 1.0776,                 1.0942,                0.94404,                 1.0886,                0.56727,                0.60573,                0.56402,                0.34218,                 1.1327,                 1.2965,                 1.2217,                 1.1748,                  1.464,                 1.2049,             0.00086902,             0.00086902,             0.00086902
                     47,                 0.9833,                0.79325,                 1.0768,                 1.0875,                0.93669,                 1.0864,                0.55915,                0.62946,                0.58992,                 0.3657,                 1.0864,                  1.148,                 1.1751,                 1.1466,                  1.282,                 1.1692,             0.00086352,             0.00086352,             0.00086352
                     48,                0.98046,                0.78192,                 1.0768,                 1.0907,                0.91941,                 1.0896,                0.56899,                0.62112,                0.57999,                0.35196,                 1.1262,                 1.2895,                 1.2153,                 1.1633,                 1.4572,                  1.196,             0.00085803,             0.00085803,             0.00085803
                     49,                0.98017,                0.78322,                 1.0756,                  1.083,                0.92132,                 1.0902,                0.58432,                0.62943,                0.60136,                0.36162,                 1.1088,                 1.2115,                  1.194,                 1.1561,                  1.346,                 1.1842,             0.00085253,             0.00085253,             0.00085253
